Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
8918,"The front page? You really do live in your own little world, dont ya?",Chandler,sadness,negative,892,16,8,21,"00:04:42,366","00:04:47,329"
1952,You freak.,Rachel,disgust,negative,195,3,3,5,"00:18:42,538","00:18:44,956"
343,Guys?,Ross,anger,negative,32,14,1,12,"0:11:40,033","0:11:43,147"
9616,"Umm, you-you and your sister seem to have umm, a very special bond, and",Rachel,neutral,neutral,956,3,5,10,"00:17:49,485","00:17:52,570"
10220,"God, I feel so guilty about Ross.",Monica,sadness,negative,1017,0,5,6,"0:12:29,540","0:12:31,462"
8558,"All right. If you care enough to make up that load of crap, okay.",Phoebe,anger,negative,853,12,7,9,"00:15:50,616","00:15:55,119"
1246,"All right buddy, time to roll over.",Chandler,neutral,neutral,127,0,4,20,"00:08:06,694","00:08:09,196"
8082,Oh my God! Look at this!,Rachel,surprise,negative,813,1,4,15,"00:17:49,318","00:17:51,694"
8794,But Im not gay. And I especially wouldnt want you to think I was gay.,Tag,joy,positive,881,0,7,4,"00:21:11,478","00:21:16,190"
816,Oh but look! Thats gonna leave a stain!,Rachel,disgust,negative,79,1,6,18,"00:16:28,570","00:16:31,072"
3275,"Oh my God, I remember now! We were playing chess!",Phoebe,surprise,positive,327,2,5,22,"00:18:25,979","00:18:29,065"
323,Daddy!,Elizabeth,surprise,negative,30,15,6,21,"00:05:10,101","00:05:11,977"
867,Not after this!,Phoebe,anger,negative,84,3,4,20,"00:21:06,056","00:21:08,224"
3375,"Thats when it occurred to me, the key to my success, the munchies. So I ah, started hitting the NYU dorms around midnight.",Ross,joy,positive,336,16,3,10,"00:13:09,955","00:13:20,006"
1022,No-no. We,Ross,fear,negative,105,0,6,23,"00:21:15,011","00:21:16,596"
3269,Are you really gonna do this?,Monica,fear,negative,326,5,8,1,"00:21:11,353","00:21:12,853"
1398,"Great, now he's waving back.",Monica,disgust,negative,145,9,1,20,"00:05:53,102","00:05:55,729"
5504,No-no-no-no-no we came together!,Joey,joy,positive,553,17,6,10,"00:09:21,143","00:09:23,645"
9834,Rachel! Rachel!,Friend No. 2,joy,positive,978,4,3,6,"00:22:14,916","00:22:16,000"
8749,Oh my God!,Chandler,surprise,negative,874,2,5,13,"00:21:11,821","00:21:14,021"
1250,"Youre going to a clinic, and a pyjama store!",Chandler,disgust,negative,127,4,4,20,"00:08:21,375","00:08:32,469"
9849,"You uh, you may have been right about Jill.",Ross,sadness,negative,981,1,6,14,"0:19:23,328","0:19:25,831"
1459,Oh my God! Oh my God! Im so sorry!,Mona,fear,negative,150,0,8,8,"00:10:59,659","00:11:01,785"
677,Hey! Guess what I got for your wedding!,Ross,joy,positive,63,0,7,20,"00:09:56,137","00:09:57,846"
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356"
1281,No. Why?,Joey,neutral,neutral,129,14,3,22,"0:10:53,465","0:10:55,659"
9118,What?,Ross,surprise,negative,910,10,1,3,"0:11:36,320","0:11:39,882"
4861,But if...,Phoebe,fear,negative,496,11,3,17,"00:14:19,692","00:14:21,234"
9228,"I know! And Im just getting out of a marriage, I mean talk about meant to be!",Janice,fear,negative,923,2,4,15,"00:05:55,730","00:06:01,818"
4698,"Yeah! And also, a little like a French guy.  I never noticed that before.",Joey,surprise,positive,478,1,6,24,"00:19:29,877","00:19:39,135"
6572,"I am so, so, so, so sorry!",Chandler,sadness,negative,654,0,6,17,"00:20:03,118","00:20:06,996"
7556,"Y'know, I sensed that I should stop. So we're okay?",Chandler,neutral,neutral,757,8,5,3,"00:18:59,471","00:19:01,931"
553,I was gonna give you a chance to apologise to me.,Rachel,disgust,negative,51,3,3,15,"00:11:22,431","00:11:25,433"
4242,Thanks sweetie.,Rachel,neutral,neutral,434,8,8,5,"00:20:11,501","00:20:14,003"
1843,Hey!,Rachel,joy,positive,184,4,9,20,"0:05:56,344","0:05:57,613"
9207,"Uh, a little bit. She-she-she walked in and I thought she was you and I kissed her and",Eric,fear,negative,921,1,8,7,"00:17:04,523","00:17:07,068"
6242,I was thinking more like a hundred.,Ross,neutral,neutral,625,18,7,17,"00:12:13,941","00:12:17,193"
8423,"I dont know, my mother spent most of her money on her fourth wedding.",Chandler,sadness,negative,843,1,7,2,"00:12:31,208","00:12:36,671"
7067,"Excuse me, sir! This lady played my quarter, this is my money.",The Lurker,anger,negative,699,3,5,24,"00:17:10,487","00:17:14,782"
10362,"Oh, y'know I-I can't hear that enough.",Chandler,anger,negative,1026,11,5,14,"00:07:04,507","00:07:07,384"
6921,And-and thats only cause its right there when you turn it on!,Joey,anger,negative,679,14,6,21,"00:01:03,271","00:01:06,231"
4496,You would've liked it.,Barry,sadness,negative,457,8,1,20,"00:07:11,264","00:07:14,266"
5291,You guys are killing me!,Joey,sadness,negative,532,8,9,12,"0:11:02,620","0:11:04,122"
2559,"That's not the hard part honey! The hard part is what comes    next, I mean aren't you worried about the results?",Janice,fear,negative,253,9,9,21,"00:17:59,620","00:18:04,165"
6550,"Did anybody else feel they just wanted to peel the skin off their body, to have something else to do?",Monica,disgust,negative,652,1,1,6,"00:01:57,534","00:01:59,451"
480,"All right, cut, lets pick again, pick again.",Rachel,neutral,neutral,46,4,4,19,"0:13:06,577","0:13:08,259"
9552,"But, it's only the second day and I'm a loser with stupid leather pants that don't even fit!",Ross,disgust,negative,950,3,5,11,"00:18:06,376","00:18:12,465"
6637,"Look look! It's Rachel and Barry. No, don't everybody look at once!",Monica,surprise,negative,658,17,1,20,"00:02:46,875","00:02:50,460"
9014,Im telling you its like watching Bambi learn how to walk.,Rachel,anger,negative,902,0,7,14,"00:13:57,253","00:14:01,172"
